CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
663493399,12/30/2019,09:10:00,,,24,12/30/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,,992062,228791,UNKNOWN,UNKNOWN,U,3,40.79465928500008,-73.97178778199999,"(40.79465928500008, -73.97178778199999)",PATROL BORO MAN NORTH,96 STREET,UNKNOWN,UNKNOWN,F
765043224,12/23/2019,13:00:00,12/23/2019,13:10:00,14,12/23/2019,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,,989284,211217,45-64,WHITE,M,4,40.74642524500007,-73.98183391399994,"(40.74642524500007, -73.98183391399994)",PATROL BORO MAN SOUTH,33 STREET,25-44,BLACK,F
765634015,12/23/2019,10:52:00,12/23/2019,10:57:00,6,12/23/2019,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,,986354,205451,25-44,BLACK,M,4,40.730600184000025,-73.99240998699997,"(40.730600184000025, -73.99240998699997)",PATROL BORO MAN SOUTH,8 ST.-NYU,25-44,WHITE,F
792770070,12/27/2019,18:05:00,12/27/2019,18:10:00,84,12/27/2019,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BROOKLYN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,,990146,188389,25-44,BLACK,M,32,40.683767303000025,-73.978742975,"(40.683767303000025, -73.978742975)",PATROL BORO BKLYN NORTH,PACIFIC STREET,18-24,WHITE HISPANIC,F
958744974,12/21/2019,16:35:00,12/21/2019,16:37:00,10,12/21/2019,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,,983551,208788,25-44,BLACK,M,2,40.739759650000046,-74.00252386299998,"(40.739759650000046, -74.00252386299998)",PATROL BORO MAN SOUTH,14 STREET,25-44,WHITE,M
937152058,12/27/2019,00:20:00,12/27/2019,00:25:00,78,12/27/2019,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BROOKLYN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,,990502,188496,18-24,BLACK,M,32,40.68406075000007,-73.97745929199993,"(40.68406075000007, -73.97745929199993)",PATROL BORO BKLYN SOUTH,ATLANTIC AVENUE,25-44,ASIAN / PACIFIC ISLANDER,F
681583787,12/31/2019,17:20:00,12/31/2019,17:25:00,52,12/31/2019,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BRONX,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,,1019444,245654,25-44,WHITE HISPANIC,F,12,40.840876814000076,-73.87280713299998,"(40.840876814000076, -73.87280713299998)",PATROL BORO BRONX,EAST 180 STREET,25-44,BLACK,F
863782450,12/26/2019,08:23:00,12/26/2019,08:30:00,17,12/26/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,,993063,216978,UNKNOWN,BLACK,M,4,40.762234771000074,-73.96818808299997,"(40.762234771000074, -73.96818808299997)",PATROL BORO MAN SOUTH,59 STREET,UNKNOWN,UNKNOWN,F
936689760,12/25/2019,03:30:00,12/25/2019,03:35:00,60,12/25/2019,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BROOKLYN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,,989472,148971,UNKNOWN,UNKNOWN,M,34,40.57557363000007,-73.98120362499998,"(40.57557363000007, -73.98120362499998)",PATROL BORO BKLYN SOUTH,STILLWELL AVENUE-CONEY ISLAND,25-44,BLACK,M
372517595,12/26/2019,01:02:00,12/26/2019,01:02:00,25,12/28/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,,1001575,232339,UNKNOWN,BLACK,F,4,40.804384046000045,-73.93742166899995,"(40.804384046000045, -73.93742166899995)",PATROL BORO MAN NORTH,125 STREET,45-64,BLACK,F
